新增死亡,新增疑似,新增确诊,日期,累计死亡,累计疑似,累计确诊
1,0,4,1月16日,2,0,45
0,0,17,1月17日,2,0,62
1,0,59,1月18日,3,0,121
1,0,77,1月19日,4,0,198
2,27,77,1月20日,6,54,291
3,26,149,1月21日,9,37,440
8,257,131,1月22日,17,393,571
8,680,259,1月23日,25,1072,830
16,1118,444,1月24日,41,1965,1287
15,1309,688,1月25日,56,2684,1975
24,3806,769,1月26日,80,5794,2744
26,2077,1769,1月27日,106,6973,4535
26,3248,1459,1月28日,132,9239,5597
38,4148,1741,1月29日,170,12167,7736
43,4812,1985,1月30日,213,15238,9720
46,5019,2104,1月31日,259,17988,11821
45,4562,2591,2月1日,304,19544,14411
57,5173,2831,2月2日,361,21558,17238
64,5072,3235,2月3日,425,23214,20471
66,3971,3893,2月4日,491,23260,24363
73,5328,3697,2月5日,564,24702,28060
73,4833,3151,2月6日,637,26359,31211
86,4214,3401,2月7日,723,27657,34598
89,3916,2657,2月8日,812,28942,37251
97,4008,3073,2月9日,909,23589,40235
108,3536,2484,2月10日,1017,21675,42708
97,3342,2022,2月11日,1114,16067,44730
254,2807,15153,2月12日,1368,13435,59882
121,2450,5093,2月13日,1381,10109,63932
143,2277,2644,2月14日,1524,8969,66576
142,1918,2009,2月15日,1666,8228,68584
106,1563,2051,2月16日,1772,7264,70635
98,1432,1891,2月17日,1870,6242,72528
136,1185,1751,2月18日,2006,5248,74279
115,1277,825,2月19日,2121,4922,75101
118,1614,892,2月20日,2239,5206,75993
109,1361,399,2月21日,2348,5365,76392
97,882,649,2月22日,2445,4148,77041
150,620,416,2月23日,2595,3434,77262
71,530,517,2月24日,2666,2824,77779
52,439,411,2月25日,2718,2491,78190
29,508,440,2月26日,2747,2358,78630
44,452,329,2月27日,2791,2308,78959
47,248,430,2月28日,2838,1418,79389
35,132,579,2月29日,2873,851,79968
42,141,206,3月1日,2915,715,80174
31,129,128,3月2日,2946,587,80302
38,143,120,3月3日,2984,520,80422
31,143,143,3月4日,3015,522,80565
30,102,145,3月5日,3045,482,80710
28,99,103,3月6日,3073,502,80813
27,84,46,3月7日,3100,458,80859
23,60,45,3月8日,3123,421,80904
17,36,20,3月9日,3140,349,80924
22,31,31,3月10日,3162,285,80955
11,33,25,3月11日,3173,253,80980
7,33,11,3月12日,3180,147,81003
14,17,18,3月13日,3194,115,81021
10,39,27,3月14日,3204,113,81048
14,41,29,3月15日,3218,134,81077
13,45,39,3月16日,3231,128,81116
11,21,35,3月17日,3242,119,81151
8,23,84,3月18日,3250,105,81235
3,31,65,3月19日,3253,104,81300
8,36,116,3月20日,3261,106,81416
6,45,82,3月21日,3267,118,81498
9,47,102,3月22日,3276,136,81600
7,35,147,3月23日,3283,132,81747
4,33,99,3月24日,3287,134,81846
6,58,114,3月25日,3293,159,81960
5,49,118,3月26日,3298,189,82078
3,29,135,3月27日,3301,184,82213
5,28,128,3月28日,3306,174,82341
5,17,106,3月29日,3311,168,82447
3,44,98,3月30日,3314,183,82545
7,26,86,3月31日,3321,172,82631
6,20,93,4月1日,3327,153,82724
4,12,78,4月2日,3331,135,82802
4,11,73,4月3日,3335,114,82875
3,11,55,4月4日,3338,107,82930
1,10,75,4月5日,3340,88,83005
0,12,66,4月6日,3340,89,83071
2,12,86,4月7日,3342,83,83157
2,17,92,4月8日,3344,73,83249
1,3,56,4月9日,3345,53,83305
4,8,64,4月10日,3349,44,83369
0,49,113,4月11日,3349,82,83482
2,6,115,4月12日,3351,72,83597
0,3,99,4月13日,3351,72,83696
1,11,49,4月14日,3352,73,83745
0,4,52,4月15日,3352,63,83797
0,3,27,4月16日,4642,62,84149
0,5,31,4月17日,4642,63,84180
0,2,21,4月18日,4642,48,84201
0,2,36,4月19日,4642,43,84237
0,3,13,4月20日,4642,37,84250
0,3,37,4月21日,4642,35,84287
0,0,15,4月22日,4642,20,84302
0,2,9,4月23日,4642,20,84311
0,3,13,4月24日,4642,17,84324
0,0,14,4月25日,4642,12,84338
0,5,3,4月26日,4643,10,84341
0,1,6,4月27日,4643,9,84347
0,2,22,4月28日,4643,10,84369
0,3,4,4月29日,4643,10,84373
0,3,12,4月30日,4643,9,84385
0,2,3,5月1日,4643,11,84388
0,0,5,5月2日,4643,10,84393
0,1,7,5月3日,4643,3,84400
0,0,4,5月4日,4643,2,84404
0,3,2,5月5日,4643,5,84406
0,2,3,5月6日,4643,4,84409
0,3,6,5月7日,4643,6,84415
0,2,1,5月8日,4643,8,84416
0,1,14,5月9日,4643,4,84430
0,0,20,5月10日,4643,3,84450
1,1,1,5月11日,4644,3,84451
0,1,7,5月12日,4644,4,84458
0,0,6,5月13日,4644,4,84464
0,1,5,5月14日,4644,4,84469
0,2,9,5月15日,4644,3,84478
0,2,5,5月16日,4645,4,84484
0,1,10,5月17日,4645,4,84494
0,1,6,5月18日,4645,3,84500
0,3,5,5月19日,4645,7,84505
0,1,2,5月20日,4645,7,84507
0,1,13,5月21日,4645,7,84520
0,2,2,5月22日,4645,6,84522
0,3,3,5月23日,4645,9,84525
0,0,11,5月24日,4645,6,84536
0,0,7,5月25日,4645,5,84543
0,1,1,5月26日,4645,6,84544
0,0,3,5月27日,4645,5,84547
0,0,0,5月28日,4645,5,84547
0,1,18,5月29日,4645,5,84565
0,0,5,5月30日,4645,4,84570
0,0,18,5月31日,4645,3,84588
